id,premise,hypothesis,lang_abv,language,label
f5f4dc48c1,savonarola burned in florence,florence became savonarola's new home.,en,english,2
6a98a077a5,"it will be colossal!""",it will be gigantic.,en,english,0
00c0cdf348,"colder and further than ever, the voice of the lord has developed.",the voice of the lord feels so distant and cold,vi,vietnamese,0
8b8a91643a,27 the difficulty increases as the need for modifications of the boiler to be taken to adapt the scr to the installation also increases.,27 the difficulty depends on the modifications.,es,spanish,0
655cc51991,he says men are here.,he said that the men were not here.,en,english,2
a2a8b36437,"consequently, government decision -making officers and bosses adopt new ways of thinking by examining different ways of achieving goals and using new information guidance information.",government representatives refuse to change their lifestyle.,el,greek,2
ca2570d90c,such boats were designed to allow for access to arriving ships.,boats were set up to make it easier to find next ships.,sw,swahili,0
89fdd6de05,yeah uh-huh oh yeah petting zoos and things,"yes, petting and other things.",en,english,0
fc9b9e81ec,"i have never understood why international national phones are not used in the english dictionary of all kinds, but this is beyond the scope of our words in this review.",this review is minimal to the scope so they do not discuss why the writing of international simatical writers is not used in english dictionaries.,sw,swahili,0
aa6feee06e,"disputes, management now point to making these food stamps, and of course, can also turn to basic benefits—tanf.",the government has not mentioned anything about food stamps or benefits.,zh,chinese,2
14fa262750,"the almost midtown massabielle quarter faubourg de massabielle, is sometimes described as the most picturesque in the city.",the massabielle quarter is considered the most photogenic.,en,english,0
7e89da4ba3,4) not enough is known about how nontransportation costs vary with distance.,the ways in which distance affects nontransportation costs is a subject we don't have enough information on.,en,english,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,i am surprised that not many of them are in politics down here.,en,english,2
8540c11e37,"the social security does not contain any established programs exclusively or especially for federal employees, those such as: pension and other pensions.",social insurance does not include a plan for the federal government.,de,german,0
1589ccaac1,the draft treaty was tommy's bait.,the treaty bait was not for tommy.,en,english,2
8289cdfc7d,"therefore, the number of boilermakers may actually grow more quickly than what was assumed.",the number of boil makers will decrease drastically as expected.,en,english,2
b277ab420e,look at a girl in a white fur parka with boots,the girl is dressed while red.,fr,french,2
792afbd06a,the most legendary feature of the building is related to guwaha weapons.,building mein kafi bara weathervane hai.,ur,urdu,1
43b978ef75,others do not make the consumer happy enough.,others are enough.,tr,turkish,2
80001fec89,"as long as assad lives, he can manage these troubles and keep an agreement with israel.",as long as assad doesn't die he will be able to take care of the troubles.,en,english,0
d999bfa2a1,the four javis children? asked severn.,severn knows everything about the jarvis children.,en,english,1
d4dd5ba80d,my brain refusing to command properly.,my brain was not commanding properly.,en,english,0
ad4b9214af,"""so your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",your farewell activity didn't go well.,en,english,0
126018a551,"he looked above the surprise, and then sat with him, taking a glimpse of thinking with him.",she was brave with her hope.,hi,hindi,1
097b4dfe2a,you have to walk through it).,you need to pass through it on foot.,en,english,0
b0c2761b43,"no, i exclaimed, astonished.","""no!"" i cried out in shock.",en,english,0
61f15fd66d,"on may 1, we must conclude the membership renewal options for the 1991 contributors.",there is a chance for 1500 members to reorganize their membership.,sw,swahili,1
12840a5edd,tv dinner brought bad stains.,people on tv only eat breakfast and lunch.,zh,chinese,2
714a367262,"the inability to communicate was a critical element at the crashes of the world trade center, the pentagon and the someret county, pennsylvania, where several authorities and several jurisdiction reacted.",it was difficult for people in the world trade center to communicate.,de,german,0
37c01740c6,"bauerstein had been at styles on the fatal night, and added: ""he said twice: 'that alters everything.' and i've been thinking.",styles is responsible for what happened.,en,english,1
3d3149ec45,"long ago--or away, or whatever--there was a world called thar?? and another called erath.",erath is the only world that has ever existed.,en,english,2
6c12f1e611,"then, all the time, it was in the spill vase in mrs. inglethorp's bedroom, under our very noses? i cried.","so it was hidden in another country, impossible for us to locate?",en,english,2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,i have never developed a love for gardening.,en,english,1
71bcd59dd6,' she gets a little obsessive about her sauce.,her sauce is so complicated that she's obsessed with perfecting each ingredient.,en,english,1
aab0894630,"rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","while kids today are symbols of success and status, and their parents are too.",en,english,1
bda3f7467b,"correctly implemented, this approach provides reasonable insurance that a trip has occurred.",the approach shows you the journey that took place.,fr,french,0
7ca8ba219d,china's civil war sent distressing echoes to hong kong.,japan fought a civil war.,en,english,2
e5c40e04ec,but the blood of the mind may now be.,a country has quickly arrived to conclude its position.,ar,arabic,0
c69352547f,a postcode can be used by several routes.,ede postcode is operated by just one route.,de,german,2
cc18ec8d15,"well, i am in takas and we have a teacher who died from aids",i had never gone to texas.,ar,arabic,2
05ab8a9326,the prevailing spirit of liberalism in europe did not reach spain until late.,spain was never liberal.,ar,arabic,2
24444bd5df,"left on its own resources, this reaction is exergonic and in the presence of excess trimmers, compared to the equilibrium hexamer ratio to trimmers, will flow exergonally to equilibrium by synthesizing the hexamera.","if this reaction is untouched, it will eventually come to balance.",bg,bulgarian,0
e390988e6f,"the seven grants flow from a new nonprofit capacity building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","the grants flow from a nonprofit capacity building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",en,english,1
9e42108ae0,"or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",the age of consent is age 21 as well.,en,english,1
26ef4fcb0c,"the complexity of the subjunctive in french does not worry the least, for the right and simple reason that he does not try to use it.",he does not try because he has no motivation.,fr,french,1
7fa1543ed0,will the white house change?,will the white house change?,fr,french,0
2b2010a718,"with the easiest assimilation with the anglo community, only protestant schools have accepted their children, eastern europe's jews have graduated from the rich westmount or have emigrated to toronto again.",the jews were more easily integrated into the english community.,el,greek,0
4acead92d8,"in this respect, bringing steve jobs back to save apple is like bringing gen.",steve jobs came back to apple.,en,english,0
12127455a8,"and how better are these?- are you afraid of the clumsy barbados seeder? what is tormenting you, peter? i have never seen you scared before. there was a shot behind them.",i never saw peter to be afraid of something.,ru,russian,0
89467c0148,"the pathological self -word, and the normal word instead of the legal word, is a maker of trouble and should be avoided.",self -satisfaction is not a problem.,ar,arabic,2
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,they did not have anything to do.,en,english,2
de5351757f,"on the contrary, cite de la musique is the musee de la musique and a giant concert room, zenith.",the scene is a large concert.,th,thai,0
11788e6295,"from generation to generation michiko kakutani, the new york times . a few, like pearl k. bell in the wall street journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",they complained that the novel lacked any emotions.,en,english,2
5aabaf3da7,i hope we hear each other soon.,never talk to me again!,bg,bulgarian,2
75cbac107c,"hey, no problem, a fine policy.","no worries, a good policy.",en,english,0
bbd3930178,"this is fannie flono, she grew up in ag-augusta, ga, and will talk about some memories from her childhood.",fannie flono was able to speak to us today despite her full schedule.,de,german,1
5b09f9eabb,"the m??tro subway is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",taking the subway is a good way to experience big city life.,en,english,2
97ca4170dd,"my hero, however, is richard hezltain, chairman of overseas investment trust, who resigned earlier this month in disagreement with the business plan imposed by his superiors.",hezltain left his job.,bg,bulgarian,0
c5c2c039e5,"they were so sure of themselves that they took it for granted he had made a mistake.""",they simply assumed that he'd made a mistake.,en,english,0
b02c0e148c,this music is no secret to retailers.,music retailers are completely in darkness about this.,hi,hindi,2
604b64ca7f,i'm on i'm in the plano school system and living in richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,there is a huge amount of poor students and very few wealthy.,en,english,1
e66e2e370a,stevenson's article shows a fundamental lack of understanding about what our campaign implies.,"although stevenson has traveled with us in the campaign, his article makes it clear that he was not paying attention to what the campaign is about, even at the most basic level.",es,spanish,1
716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"that's it, we just hang up, right?",en,english,0
5de2aa81ed,"they capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",they used salt to cure fish and sent it back home.,en,english,0
6e108e3994,"myself and i like some of your songs, but since i agree as a general rule, i would not choose a rap either","i'm not a rap fan, but i like some of the songs you have.",de,german,0
f0e86993ca,"news berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",news outlets do not blame users or system administrators for security breaches.,en,english,2
aae865505c,newsweek said that tourists and celebrities flocked to patacoania. which once was a shelter for the escape nazi,the new hotel was built in patagonia to accommodate tourists.,th,thai,1
b3c705a914,"to their good fortune, he's proving them right.",he is showing that they were correct.,en,english,0
99b71d209e,too bad it chose to use mcintyre instead.,mcintyre was picked to be used as the closing pitcher.,en,english,1
dd63e67222,"oh, i understand the atmosphere here",i don't like this style,zh,chinese,0
fc0a6ac2f5,"his official name was flavian amphitheater, after the family name of his builder, the emperor vespasian.",nobody knows how the pozzuoli amphitheater got its name.,de,german,2
6211b5072d,he was a trace in cuban chaos and kaiser got a picture and headed for andrews air force in washington.,only one person was killed in a cuban crisis accident,sw,swahili,1
8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,it's cheap to bring it to a dealer.,en,english,2
3c2e8a360d,whole life policies - policies that provide insurance over the insured's entire life and the proceeds face amount are paid only upon death of the insured.,a whole life policy is the best choice for someone who expects to live to the age of 90.,en,english,1
b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,en,english,0
7cc9bb38f9,"the women's haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",there is a full-time attorney at the women's haven already.,en,english,0
a8bcd9ccf7,uh high humidity,air with increased water content.,en,english,0
6c2527b960,"in the case of us 11, the last normal communication from the plane at 8:13 am.",there is no contact from american 11.,vi,vietnamese,2
80f6ac92a4,"we need to look at the implications that these differing roles have for a range of issues, such as ses core competencies, performance standards, recruitment sources, mobility, and training and development programs.",we can completely ignore the implications of the roles on mobility.,en,english,2
eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,there is another layer to the surface.,en,english,0
e7ad6c38fc,"in this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",no consideration will be given to the cost of doing the work in this case.,en,english,2
ca2f6459bd,is there adequate information for judging generalizability?,output information is way too much generalized.,en,english,1
212fc2ad66,the political cleansing that did not happen through the impeachment process leaves clinton with a great and serious burden.,the impeachment process involved clinton's husband as well.,en,english,1
df8998b7a7,"well, my grandparents are always very, very caring, and so are my parents, we are having a great time below.",my grandparents are a very loving couple.,zh,chinese,0
d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in wylie and i could see downtown dallas,i have only been here for two years.,en,english,2
a38659ed31,"over most of the 1980s and 1990s, the u.s. was able to invest more than it saved by attracting financing from abroad.",the us could save more than it invested in the 1980's and 90's.,en,english,2
ceedd25541,"if anyone has a 1984 edition, he may be angry because he has to buy that book rather than a smaller and less expensive version.",cheaper surcharge than books.,vi,vietnamese,0
73fff19324,i told them it was my sister.,i blamed my sister.,es,spanish,0
8f448b8aa5,"ajaj had entered the united states with a b-2 tourist visa in new york city on september 9, 1991.",ajaj had a tourist visa when he went to the united states.,es,spanish,0
a49ecd3734,"credibility is a vital factor, and jim lehrer does, indeed, have it.",everyone would believe whatever jim lehrer said.,en,english,1
952a08b1f3,there should be someone here who knew more of what was going on in this world than he did now.,he knew he was the only person with any idea of what was going on.,en,english,2
8a4a9c16be,"in 2003, these codes were canceled; now all issues related to international terrorism receive one code - 315.",all issues related to terrorism receive the highest priority.,ru,russian,1
73dce915f0,notices to the opposition lawyer and the court or the administrative agency should be sent.,the opposing lawyer and the court expect to receive legal opinions.,fr,french,1
e1e92f6499,"president kennedy tells the pilots: gentlemen, you take good photos.",kennedy didn't recognize them.,el,greek,2
4c7b129507,"what is it? we have almost one acre, yes it's weird because we have","it's no fun, we just have a square feet of land.",ur,urdu,2
ef98cc7a44,"its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",accuracy and speed are the first measurements listed on the scorecard.,en,english,1
247c31cc1f,"therefore, i know you go to the limits to be compassionate and take care of others.",i know you just don't care about people at all.,el,greek,2
2fa7d36591,"the first wives club, a revenge comedy with three abandoned wives, has won most of its first weekend from any other female film in history.",the actors and acting contributed more than the plot on the film sales record of the first wives club.,el,greek,1
ee747eb8ca,"in fact, the word kuark is in the oxford dictionary as a verb that means `` timing, with the references of the 19th century refers to frogs, crows, and the sad king.",most people do not know the origin of the word kuark and it indicates the noise issued by the frog.,ar,arabic,1
dd883e1f46,"on the left of the entrance ramp is the open space once occupied by the temple of athena, close to which are the remains of the pergamene library.",there are no remains visible from the ramp.,en,english,2
ab87e8abac,um how do you think that the newspaper in colorado springs deals with the local interests,do you think the local newspapers are not interested in what citizens have to say?,de,german,1
640c0172a6,"if you are keen to learn israeli folk dancing, the bicurei ha'etim cellar in heftman street will teach you.",the bicurei ha'etim cellar is the only place to learn israeli folk dancing.,en,english,1
c4e8713899,"or sherlock holmes?""",was it sherlock holmes?,en,english,0
c776773683,we are so used to hearing as american companies complain about foreign competition that the accusations that kodak put forward after its defeat are perceived as another whine.,american companies respond to foreign competition.,ru,russian,0
a14e13370f,"though the two cities remained unlinked by rail, this was about to change quickly.",the two cities did not have a railway between them.,en,english,0
39d065817a,tourist information offices can be very helpful.,tourist information offices are never of any help.,en,english,2
101dc2c1bb,"more detailed implementation plans also will be necessary to address business system, processes, and resource issues.","detailed implementation plans are necessary to address business system, processes and resources",en,english,0
b645ab43a4,"dubai is a modern city with easy access to major airports, travel agencies, hotels and western commercial institutions, and is an ideal transit station.",dubai is the first choice for transit stations.,zh,chinese,1
7df831c8e2,we will make the goal.,we will fall very close to the target.,el,greek,2
0c338feb50,"first, injected cannabinoids may not mirror the effects of smoked marijuana.",smoking marijuana gets people higher than injected them with cannabinoids.,en,english,1
617f1dc5f2,the data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the federal government but not in individual reports of its component units.,the data would be included in individual reports concerning the constituent units of the federal government.,en,english,2
8adeb402ee,boca of the setable race moderate; 5 hours: views of curral das nuns and the valley of ribeiro do poco.,"""views of curral da nuns and the valley of ribeiro do poco"" is chapter 5.",en,english,1
162467ddeb,"certainly fdny is not responsible for the management of the city's reaction to an emergency, as required by the mayor's instruction.",the management of the city's reaction was processed by an organization other than fdny.,vi,vietnamese,0
6595e3320d,"while the numbers are impressive, scholarships are often important for hiring top students with financial needs.",we do not give scholarships or financial assistance to students.,el,greek,2
a7a2a9fc5e,"interest rate - the price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",interest rate can range from zero to fifteen percent.,en,english,1
e7bc15b1b9,that's hilarious to to get that jack off that's right oh that's a funny story,i will enjoy telling that story.,en,english,1
f50208a07e,"mr. erlenborn attended undergraduate courses at the university of notre dame, indiana university, the university of illinois, and loyala university of chicago.",mr. erlenborn attended classes in at least four different universities.,en,english,0
00ddb7aea4,"so unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",our clients can afford attorneys and bouncing between lawyers.,en,english,2
b0ee325483,finally the woman opened her eyes feebly.,she opened her eyes.,en,english,0
b332076fc2,"of course, it is quite radical to assume that there is quantum uncertainty in the law, but this does not seem impossible.",some people who believe there is quantum uncertainty in the law may be radicals.,zh,chinese,1
a5484dd197,the finest is the huge conical-roofed tomb/pillar of absalom king david's son.,the tomb/pillar of absalom has a large cone-shaped roof.,en,english,0
d68455eccf,"this week presents the ken star report on the love of the great star of excitement, which will count romance in the presidential lemon, the oval office and even liner badome!",the questioner had knowledge about the white house,ur,urdu,0
34cd54592e,when the sand was created the sand entered the stable corner. then expanded into the edge of the table,sand was scooping by a car to suppress the soil.,th,thai,1
0393073e4a,"unless the mention of the ritz was an accidental remark?""",was mentioning the ritz accidental?,en,english,0
09b8ecb23f,they are the four sentences you always insert in plagiarized papers to throw the professor off track.,these four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,en,english,1
a9ee3935c9,"built in 688-691 ad, it is decorated with thousands of excellent, mainly blue and yellow, persian ceramic tiles, with koran scriptures in lintel.","the walls have 100,000 tiles on them.",el,greek,1
0477c22e6d,this man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in europe or the middle east.,he claimed he was robbed on the way and has no money or a plane ticket,en,english,0
3074381515,"it was planned in the 1820s as a symbol of scottish national pride and designed as a mini-parthenon, in deference to the neoclassical style popular at the time.",it was designed to be a smaller version of the parthenon.,en,english,0
fc11d4b8cb,"old, he said with a cold and steep voice as a steel, your station is on the deck of weapons.",ole is always at the gun station.,el,greek,1
489847e94d,"although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",alcohol related events that contribute to disease are often unreported by patients to their insurance companies.,en,english,0
a235cb04e1,"could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","you don't have an opinion on gum chewing in public, i see.",en,english,2
772391afdf,the h-2a worker must depart the country and is subject to deportation for failing to do so.,the h-2a worker committed a crime.,en,english,1
e90c9dda0f,the researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,the stresses affected people as the researchers expected.,en,english,0
9f89cd56c7,"relaho can also describe a joking connection, a mysterious turn and forth, which laughs the tension with laughter and deletes the cause of the current tension.",relajo is joking about the economy.,bg,bulgarian,1
8c3a69f486,you have to walk through it).,you can stay where you are.,en,english,2
836766ea05,"the 28 sta?­tues representing the kings of judah and israel have been remodeled after the drawings of viollet-le-duc; the original ones were pulled down during the revolution, since they were thought to be the kings of france.",the people who pulled down the statues were executed.,en,english,1
ee546513c1,well damn! maybe you will explain yourself? where has voverstone gone?,i want you to explain yourself! i know you know where volverstone is.,hi,hindi,1
ba01e23d88,"like i am proud of the pride, i feel that the main reason for this pursuit of the lack of linguistic desire is available to the home states.",regional language is possible due to lack of language desire.,sw,swahili,0
648feccb3d,ca'daan closed the door behind them and retied the not.,"ca'daan closed the door as they entered, and bound it shut with rope.",en,english,0
b23bdc1a30,small towns like louisian lay scattered all over the oil fields; the main train line branched between them.,a main train line went between all the small towns.,en,english,0
bf6fb470ee,"linguists who write books, apparently, always impose their point of view, sometimes, to put it mildly, unintelligible.",most linguists write books to promote others.,ru,russian,2
b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,i think higher income equals lower education.,en,english,2
44bad2a664,"be of good cheer,","be of good cheer, for beer time is near.",en,english,1
5594f92e61,"in reviewing this history, it's important to make some crucial distinctions.",there's no point in analyzing the past.,en,english,2
970707c7f5,"the black river, at 71 km 44 miles, is the longest in jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",the black river received its name because the water in its stream is actually black.,en,english,1
3fa01b03f8,in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh it's more of uh,the town radio station never relied on any national news sources.,en,english,2
2c9359d401,it would not explode without the detonator.,the trigger makes it expose.,fr,french,0
0bc8210460,there are certain categories of control activities that are common to all agencies.,control activities such as safe business practices are universally common across all agencies.,en,english,1
cfcc3db071,wander the floors and talk to the actors who play the roles of the seafarers and the hikers.,actors are paid ten dollars a day to pretend to be pilgrims.,el,greek,1
d37166ccce,"more than 100 judges, lawyers and dignitaries were present for the gathering.",only two people showed up for the gathering.,en,english,2
1575809c3c,he had forgotten about adrin.,he remembered adrin all this time.,en,english,2
db6d9923f3,"in other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","the paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",en,english,0
1e9caaf93c,the final reason for the teen renaissance is boomer self-obsession.,boomer self-obsession is one of the reasons for teen renaissance.,en,english,0
9d597f75c9,"after the death of columbus in 1505, jamaica became the property of his son diego, who dispatched don juan de esquivel to the island as governor.","jamaica was inherited by columbus' son, diego.",en,english,0
1e0cc288b1,"however, they lived in a small town called evans outside augusta, where evans is still there, and many of my relatives still live.",they have twenty family members living in evans.,zh,chinese,1
9deab91b98,the detainee dates the meeting with slah of october 1999.,the meeting took place in december 1998.,ru,russian,2
8d7f3793e5,"he bid in jail, jeremy said quietly",jeremy aik samundari dakoo tha apni pori zindagi.,ur,urdu,1
56d48aa27a,"they won't be killing off george clooney's character at er like they did to jimmy smits at nypd . instead, dr. doug ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy thursday, 10 p.m..",george clooney will lose his job because the producers don't think he can act.,en,english,2
fd0d3579c4,"120 ""you do not think i ought to go to the police?""",should i not go to the police?,en,english,0
e21db52eb1,yeah because those things i think would just snap you know,because they would survive easily.,en,english,2
f9f20650aa,we have taken a number of steps to empower and invest in our employees.,the steps we have taken put programs for the employees in place.,en,english,0
6960d6ed8a,"vahee baat new york time ke lie nahin kaha ja sakata hai. cocaine vivaad par apne sampaadakey mein, times ne bush ko eemaanadaar hone kee salaah dee aur kaha ki desh ko apana upaay karane deen.",the times said that bush should just lie to everyone.,hi,hindi,2
85cc0bfc3d,"in the case of speech, fiss appears to believe that the reason the american public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","people in america are very well informed on controversial topics, according to fiss.",en,english,2
9752c3f911,the time for parents and children together is the first step to implement the ideas and practice that i will discuss in this book.,"in this book, i will mention the topics that parents and their children can do while spending time together.",vi,vietnamese,0
e1cfb4f6e6,"the rustic bras-david picnic area, for example, is set alongside a burbling stream.",the picnic area is not near a stream.,en,english,2
13b2d2328b,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a with a pull tractor on it so i don't have to push so hard,he would mow your entire yard in eight minutes if he was using a power mower.,en,english,1
8d360ce050,"progress in aviation is made, but long -term attention is needed.",the budgets must be increased overall for optimal results.,el,greek,1
dc5c4be838,um-hum yeah i saw that for the first time yesterday in the evening,i was very impressed when i saw that yesterday.,en,english,1
12d5e4b5de,he told me exactly what he needed and that he needed it today.,he said i could submit it anytime.,el,greek,2
0ef9524ce7,"bauerstein.""",alfred inglethorp,en,english,2
5bb743d827,the museum was not solid on the list or label,those museums don't like to be written.,sw,swahili,1
0cc7c4de1b,what have we for lunch?,what are we going to eat for lunch?,en,english,0
840da92d5e,a poll of hong kong residents finds them sanguine about the city's future.,a poll of hong kong residents finds them more sanguine about the city's future than before.,en,english,1
1b1f7455ef,"nearly 100,000 people come here every day to admire the dazzling architecture and explore the latest attractions of this ever-changing city.",there is no developed tourism industry in this city.,zh,chinese,2
0fba15690f,there are two types of evolutionary advantages for average appearance.,it is useful to look normal because people leave you in your condition.,ar,arabic,1
e0bec36772,well i meant when when you were when you were growing up i mean like galveston,you grew up in galveston and i grew up in dallas.,en,english,1
fb3122d537,i am so constituted as to be unable to give away money with any satisfaction until i have made the most careful inquiry as to the worthiness of the cause.,i have to research a cause carefully before donating money to it.,en,english,0
2eca16560f,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,you can see the way that their whole demeanor has changed.,en,english,1
bb14b19517,can i help you?',i'm not helping you at all.,en,english,2
ee4804f903,"the traditional opening time for many hotels is the orthodox easter, although some do not open until the end of april.",the hotels don't open in halloween.,en,english,1
a080e008b4,medical and surgical expense coverage.,medical and surgical expenses were fully covered,en,english,1
2d1499038c,exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,a man tried to enter the house so that he could rob it.,en,english,1
22cbc0822e,"the chinese calendar was used to calculate the year of japan's foundation by counting back the 1,260 years of the chinese cosmological cycle.",japan's foundation was determined by using the chinese calendar.,en,english,0
1bdedd4aad,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"when you pay $100 a month, it take a long time.",en,english,2
58c7e2433e,she had already left and told me i shouldn't worry about it.,she said i should just assume that the school would go well.,de,german,1
e33426bedc,"thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",initial net scale benefits are negative when adjusted for the wage premium.,en,english,2
21429b747f,still others will simply marvel at the use of language and wonder where our analytical side ends and where our emotional side begins.,it can be difficult to decide exactly where emotional calls start.,fr,french,0
f5ff8d63ad,"but as she agreed, she did not admit that she was wrong, but she changed her behavior.",she never admitted that she was wrong.,ar,arabic,0
906a6e0a56,"look here, you've no business to come asking for me in this way.",there's no reason for you to be asking for me like this.,en,english,0
